activeCount,avgRho,condition,entropy,mass,maxFluxAbs,maxRho,param_c_press,param_damping,param_dt,param_psi_diffusion,param_rng_seed,rep,rhoMaxId,step,t,totalFlux,vortNorm_global,vortNorm_global_ema
11,0.3419901887615479,psi_diffusion=1.0,0.2581379269869353,47.878626426616705,0.43245597220228177,39.51444435286221,0.1,0.2,0.12,1.0,42,1,1,60,7.2000000000000055,6.340207614194147,0.0,0.0
15,0.3401708378167275,psi_diffusion=1.0,0.2791091541732174,47.62391729434185,0.4517222053272505,38.52710780681351,0.1,0.2,0.12,1.0,42,1,1,65,7.800000000000006,6.542333237637636,0.0,0.0
20,0.33794175530229054,psi_diffusion=1.0,0.2985888364248903,47.31184574232068,0.4378133043962567,37.54050555589561,0.1,0.2,0.12,1.0,42,1,1,70,8.400000000000004,6.460105669363238,0.0,0.0
23,0.33554530594010884,psi_diffusion=1.0,0.3177065836845279,46.97634283161524,0.45691428448721066,36.54770319611434,0.1,0.2,0.12,1.0,42,1,1,75,9.0,6.6898283949688135,0.0,0.0
30,0.333632363164648,psi_diffusion=1.0,0.3384002763625131,46.708530843050724,0.44255754272180126,35.5562227048779,0.1,0.2,0.12,1.0,42,1,1,80,9.599999999999996,6.62446867607183,0.0,0.0
38,0.3320694454420738,psi_diffusion=1.0,0.36025178386922396,46.48972236189033,0.46154931896004825,34.559010999548164,0.1,0.2,0.12,1.0,42,1,1,85,10.199999999999992,6.795946011451404,0.0,0.0
48,0.3304549230385908,psi_diffusion=1.0,0.38172391068534733,46.263689225402715,0.4467121335864684,33.56371634087422,0.1,0.2,0.12,1.0,42,1,1,90,10.799999999999988,6.676381839136737,0.0,0.0
63,0.3287928926518383,psi_diffusion=1.0,0.4030680618725069,46.03100497125736,0.46544009018318516,32.56332541721042,0.1,0.2,0.12,1.0,42,1,1,95,11.399999999999984,6.861447785954568,0.0,0.0
78,0.32656174932715304,psi_diffusion=1.0,0.4226793516216592,45.718644905801426,0.45012783860396177,31.56558837567519,0.1,0.2,0.12,1.0,42,1,1,100,11.99999999999998,6.738121160867062,0.0,0.0
87,0.32387719814682037,psi_diffusion=1.0,0.44121065114983093,45.34280774055485,0.4686472022341116,30.563413378627747,0.1,0.2,0.12,1.0,42,1,1,105,12.599999999999977,6.930893300536644,0.0,0.0
96,0.3210498403631241,psi_diffusion=1.0,0.459364433968438,44.946977650837376,0.45295238273338545,29.564553070908964,0.1,0.2,0.12,1.0,42,1,1,110,13.199999999999973,6.827651107308179,0.0,0.0
98,0.3187782678653108,psi_diffusion=1.0,0.479180618423604,44.62895750114352,0.47125974799952647,28.561851568880197,0.1,0.2,0.12,1.0,42,1,1,115,13.799999999999969,7.029127807922457,0.0,0.0
99,0.31690314182666884,psi_diffusion=1.0,0.49986113163724727,44.36643985573364,0.4551469059771316,27.563134961314272,0.1,0.2,0.12,1.0,42,1,1,120,14.399999999999965,6.879676327084712,0.0,0.0
105,0.31497870083795504,psi_diffusion=1.0,0.5204261283895634,44.09701811731371,0.47307193992389324,26.561315464366263,0.1,0.2,0.12,1.0,42,1,1,125,14.999999999999961,7.037184251482524,0.0,0.0
106,0.31301106086468905,psi_diffusion=1.0,0.5406986303239069,43.821548521056464,0.4564527086136982,25.56435134272065,0.1,0.2,0.12,1.0,42,1,1,130,15.599999999999957,6.894905988127074,0.0,0.0
107,0.3104313625101981,psi_diffusion=1.0,0.5596694920965707,43.46039075142773,0.4739399862721817,24.565180692217528,0.1,0.2,0.12,1.0,42,1,1,135,16.199999999999957,7.051736608999521,0.0,0.0
107,0.30739162760159644,psi_diffusion=1.0,0.5775790123672916,43.0348278642235,0.4568978257384473,23.571758841951052,0.1,0.2,0.12,1.0,42,1,1,140,16.79999999999996,6.914807442740094,0.0,0.0
111,0.3042177799348448,psi_diffusion=1.0,0.5953824903820939,42.590489190878266,0.4739611363009353,22.577004836217018,0.1,0.2,0.12,1.0,42,1,1,145,17.399999999999967,7.09335241106933,0.0,0.0
114,0.301641335461033,psi_diffusion=1.0,0.614371544249038,42.22978696454462,0.4565240567200265,21.58887152200103,0.1,0.2,0.12,1.0,42,1,1,150,17.99999999999997,6.965457352471231,0.0,0.0
115,0.2994822555730845,psi_diffusion=1.0,0.634202752845191,41.92751578023183,0.4730423280019407,20.600347614314238,0.1,0.2,0.12,1.0,42,1,1,155,18.599999999999977,7.097854327307107,0.0,0.0
120,0.29727981232392214,psi_diffusion=1.0,0.653710444058002,41.6191737253491,0.45508651331101835,19.619490093243588,0.1,0.2,0.12,1.0,42,1,1,160,19.19999999999998,6.925364302980669,0.0,0.0
122,0.29503825998949146,psi_diffusion=1.0,0.6730934732051027,41.30535639852881,0.470841840427541,18.639460124341536,0.1,0.2,0.12,1.0,42,1,1,165,19.799999999999986,7.058883699655421,0.0,0.0
122,0.29196557967122183,psi_diffusion=1.0,0.690877040713256,40.875181153971056,0.45235901093376785,17.668350754527808,0.1,0.2,0.12,1.0,42,1,1,170,20.39999999999999,6.887660187095759,0.0,0.0
124,0.28862116138632843,psi_diffusion=1.0,0.7082777005844509,40.40696259408598,0.4673235926667824,16.69940741409919,0.1,0.2,0.12,1.0,42,1,1,175,20.999999999999996,7.031082777127424,0.0,0.0
124,0.28515854999949153,psi_diffusion=1.0,0.7253822911023892,39.922196999928815,0.4483667101696729,15.74068298150513,0.1,0.2,0.12,1.0,42,1,1,180,21.6,6.875271821704436,0.0,0.0
126,0.2823192643406121,psi_diffusion=1.0,0.743472891431902,39.524697007685695,0.4624197129205513,14.78556427215139,0.1,0.2,0.12,1.0,42,1,1,185,22.200000000000006,7.014117413469827,0.0,0.0
127,0.27991775715051853,psi_diffusion=1.0,0.7618998757703457,39.1884860010726,0.4428818887669743,13.8421512811615,0.1,0.2,0.12,1.0,42,1,1,190,22.80000000000001,6.815352549515366,0.0,0.0
127,0.2774774762293178,psi_diffusion=1.0,0.7800755316049035,38.84684667210449,0.4556968920308568,12.904141288352553,0.1,0.2,0.12,1.0,42,1,1,195,23.400000000000016,6.903595111220696,0.0,0.0
128,0.27500522140466355,psi_diffusion=1.0,0.7978123462509696,38.5007309966529,0.4354138374570679,11.979741921703805,0.1,0.2,0.12,1.0,42,1,1,200,24.00000000000002,6.700675046441059,0.0,0.0
128,0.2717007360513752,psi_diffusion=1.0,0.8143792738726386,38.03810304719253,0.44674034510107763,11.062979169837742,0.1,0.2,0.12,1.0,42,1,1,205,24.600000000000026,6.782651457899559,0.0,0.0
128,0.2681446436534661,psi_diffusion=1.0,0.8303438764241342,37.54025011148525,0.4256899044488878,10.16206254907011,0.1,0.2,0.12,1.0,42,1,1,210,25.20000000000003,6.585038679926572,0.0,0.0
128,0.2644853074581028,psi_diffusion=1.0,0.8460265829545295,37.02794304413439,0.43527813905948465,9.271386295946366,0.1,0.2,0.12,1.0,42,1,1,215,25.800000000000036,6.669884740601444,0.0,0.0
128,0.26145549764811077,psi_diffusion=1.0,0.86192945228723,36.60376967073551,0.413311205987751,8.399217614815706,0.1,0.2,0.12,1.0,42,1,1,220,26.40000000000004,6.466158958374805,0.0,0.0
128,0.25886020105164426,psi_diffusion=1.0,0.8777980827335219,36.2404281472302,0.4206265560470703,7.540558171255831,0.1,0.2,0.12,1.0,42,1,1,225,27.000000000000046,6.491125236416065,0.0,0.0
128,0.25623698409957263,psi_diffusion=1.0,0.8929468480656113,35.87317777394017,0.39735626497249554,6.703920372575054,0.1,0.2,0.12,1.0,42,1,1,230,27.60000000000005,6.234858386245179,0.0,0.0
128,0.2535904562339953,psi_diffusion=1.0,0.907443581904174,35.50266387275934,0.4010783181401819,5.885555218081921,0.1,0.2,0.12,1.0,42,1,1,235,28.200000000000056,6.2261794635954715,0.0,0.0
128,0.25015898542809173,psi_diffusion=1.0,0.9205854741753705,35.022257959932844,0.37434451802423024,5.096764856527061,0.1,0.2,0.12,1.0,42,1,1,240,28.80000000000006,5.939202732064152,0.0,0.0
128,0.24650972251296827,psi_diffusion=1.0,0.9328191558538933,34.51136115181556,0.37164890908727327,4.3368123616038705,0.1,0.2,0.12,1.0,42,1,1,245,29.400000000000066,5.8804963574377735,0.0,0.0
128,0.24280115979856584,psi_diffusion=1.0,0.9440255056783656,33.99216237179922,0.3417316103032318,3.61588249955754,0.1,0.2,0.12,1.0,42,1,1,250,30.00000000000007,5.562337311983227,0.0,0.0
128,0.2399045882885232,psi_diffusion=1.0,0.9545895977953466,33.58664236039325,0.3328158569236052,2.9333130052433063,0.1,0.2,0.12,1.0,42,1,1,255,30.600000000000076,5.427032933526288,0.0,0.0
128,0.23719835592169533,psi_diffusion=1.0,0.9638591446269034,33.207769829037346,0.299483898540759,2.29925241687678,0.1,0.2,0.12,1.0,42,1,1,260,31.20000000000008,5.030632114218015,0.0,0.0
128,0.23448168270819,psi_diffusion=1.0,0.9716706457081747,32.8274355791466,0.2822683489330138,1.7154902061781019,0.1,0.2,0.12,1.0,42,1,1,265,31.800000000000086,4.781496874926457,0.0,0.0
128,0.2317630602366155,psi_diffusion=1.0,0.9778198887702546,32.44682843312617,0.2436282881397811,1.193886815261188,0.1,0.2,0.12,1.0,42,1,1,270,32.40000000000008,4.315015866607204,0.0,0.0
128,0.22843569249748225,psi_diffusion=1.0,0.9820676149047146,31.980996949647515,0.21370150771268978,0.7411450746463375,0.1,0.2,0.12,1.0,42,1,1,275,33.000000000000064,3.9381963972194036,0.0,0.0
128,0.22499571502190494,psi_diffusion=1.0,0.9844052228243247,31.49940010306669,0.16560781314563497,0.6029412843691848,0.1,0.2,0.12,1.0,42,1,132,280,33.60000000000005,3.368623854100777,0.0,0.0
128,0.2215835359999594,psi_diffusion=1.0,0.9848218014773278,31.021695039994313,0.11480674982142366,0.5561372224460505,0.1,0.2,0.12,1.0,42,1,132,285,34.20000000000004,2.802575478314683,0.0,0.0
127,0.21908950400842964,psi_diffusion=1.0,0.9842720960748209,30.67253056118015,0.05494807902935441,0.5004546885313705,0.1,0.2,0.12,1.0,42,1,132,290,34.800000000000026,2.0934614780815703,0.0,0.0
127,0.21681096001474565,psi_diffusion=1.0,0.9849574514835522,30.35353440206439,0.02198893185052819,0.4398193254530793,0.1,0.2,0.12,1.0,42,1,132,295,35.40000000000001,1.5808880358705313,0.0,0.0
127,0.21423933853782348,psi_diffusion=1.0,0.9857308646222591,29.993507395295286,0.023857613783649763,0.38225099044694194,0.1,0.2,0.12,1.0,42,1,132,300,36.0,1.311384273631034,0.0,0.0
1,0.35564189257241574,psi_diffusion=1.0,0.009612699429413046,49.7898649601382,0.20910433974269715,49.519485929122006,0.1,0.2,0.12,1.0,42,2,1,5,0.6,1.692127393224545,0.0,0.0
3,0.3547932742848401,psi_diffusion=1.0,0.027895353008215197,49.67105839987761,0.2986150229014345,48.863846893457236,0.1,0.2,0.12,1.0,42,2,1,10,1.2000000000000002,3.166212883368599,0.0,0.0
4,0.3539243768501899,psi_diffusion=1.0,0.051058984560595634,49.54941275902659,0.3620024454455438,48.06252994035954,0.1,0.2,0.12,1.0,42,2,1,15,1.8000000000000007,4.5053065218332735,0.0,0.0
4,0.353002933959037,psi_diffusion=1.0,0.07536870448093096,49.42041075426518,0.37723291073639015,47.18959412109239,0.1,0.2,0.12,1.0,42,2,1,20,2.4000000000000012,4.936850230950399,0.0,0.0
4,0.35202803475848643,psi_diffusion=1.0,0.0999156697206235,49.2839248661881,0.41063576681017666,46.272094559661234,0.1,0.2,0.12,1.0,42,2,1,25,3.0000000000000018,5.375839222105898,0.0,0.0
4,0.35073222196673437,psi_diffusion=1.0,0.12307444293916968,49.10251107534281,0.4057620550230165,45.33467460674154,0.1,0.2,0.12,1.0,42,2,1,30,3.6000000000000023,5.541340439142582,0.0,0.0
5,0.3491058760024395,psi_diffusion=1.0,0.14506141379304774,48.87482264034153,0.4287058404875117,44.379761269101614,0.1,0.2,0.12,1.0,42,2,1,35,4.200000000000003,5.961157747297104,0.0,0.0
5,0.34729839851598276,psi_diffusion=1.0,0.16623993510754156,48.621775792237585,0.41826571171133675,43.4190708146898,0.1,0.2,0.12,1.0,42,2,1,40,4.800000000000003,6.002784158289168,0.0,0.0
5,0.34582193637327147,psi_diffusion=1.0,0.1889418196000807,48.415071092258,0.438787615483926,42.44814440011905,0.1,0.2,0.12,1.0,42,2,1,45,5.400000000000004,6.25253329904031,0.0,0.0
5,0.34459841548228426,psi_diffusion=1.0,0.21235905594710652,48.24377816751979,0.4263448266266602,41.475471864031626,0.1,0.2,0.12,1.0,42,2,1,50,6.000000000000004,6.170898468329613,0.0,0.0
7,0.3433194085560379,psi_diffusion=1.0,0.23547492772652237,48.064717197845304,0.4458244884264801,40.49499100847286,0.1,0.2,0.12,1.0,42,2,1,55,6.600000000000005,6.404394652827713,0.0,0.0
11,0.3419901887615479,psi_diffusion=1.0,0.2581379269869353,47.878626426616705,0.43245597220228177,39.51444435286221,0.1,0.2,0.12,1.0,42,2,1,60,7.2000000000000055,6.340207614194147,0.0,0.0
15,0.3401708378167275,psi_diffusion=1.0,0.2791091541732174,47.62391729434185,0.4517222053272505,38.52710780681351,0.1,0.2,0.12,1.0,42,2,1,65,7.800000000000006,6.542333237637636,0.0,0.0
20,0.33794175530229054,psi_diffusion=1.0,0.2985888364248903,47.31184574232068,0.4378133043962567,37.54050555589561,0.1,0.2,0.12,1.0,42,2,1,70,8.400000000000004,6.460105669363238,0.0,0.0
23,0.33554530594010884,psi_diffusion=1.0,0.3177065836845279,46.97634283161524,0.45691428448721066,36.54770319611434,0.1,0.2,0.12,1.0,42,2,1,75,9.0,6.6898283949688135,0.0,0.0
30,0.333632363164648,psi_diffusion=1.0,0.3384002763625131,46.708530843050724,0.44255754272180126,35.5562227048779,0.1,0.2,0.12,1.0,42,2,1,80,9.599999999999996,6.62446867607183,0.0,0.0
38,0.3320694454420738,psi_diffusion=1.0,0.36025178386922396,46.48972236189033,0.46154931896004825,34.559010999548164,0.1,0.2,0.12,1.0,42,2,1,85,10.199999999999992,6.795946011451404,0.0,0.0
48,0.3304549230385908,psi_diffusion=1.0,0.38172391068534733,46.263689225402715,0.4467121335864684,33.56371634087422,0.1,0.2,0.12,1.0,42,2,1,90,10.799999999999988,6.676381839136737,0.0,0.0
63,0.3287928926518383,psi_diffusion=1.0,0.4030680618725069,46.03100497125736,0.46544009018318516,32.56332541721042,0.1,0.2,0.12,1.0,42,2,1,95,11.399999999999984,6.861447785954568,0.0,0.0
78,0.32656174932715304,psi_diffusion=1.0,0.4226793516216592,45.718644905801426,0.45012783860396177,31.56558837567519,0.1,0.2,0.12,1.0,42,2,1,100,11.99999999999998,6.738121160867062,0.0,0.0
87,0.32387719814682037,psi_diffusion=1.0,0.44121065114983093,45.34280774055485,0.4686472022341116,30.563413378627747,0.1,0.2,0.12,1.0,42,2,1,105,12.599999999999977,6.930893300536644,0.0,0.0
96,0.3210498403631241,psi_diffusion=1.0,0.459364433968438,44.946977650837376,0.45295238273338545,29.564553070908964,0.1,0.2,0.12,1.0,42,2,1,110,13.199999999999973,6.827651107308179,0.0,0.0
98,0.3187782678653108,psi_diffusion=1.0,0.479180618423604,44.62895750114352,0.47125974799952647,28.561851568880197,0.1,0.2,0.12,1.0,42,2,1,115,13.799999999999969,7.029127807922457,0.0,0.0
99,0.31690314182666884,psi_diffusion=1.0,0.49986113163724727,44.36643985573364,0.4551469059771316,27.563134961314272,0.1,0.2,0.12,1.0,42,2,1,120,14.399999999999965,6.879676327084712,0.0,0.0
105,0.31497870083795504,psi_diffusion=1.0,0.5204261283895634,44.09701811731371,0.47307193992389324,26.561315464366263,0.1,0.2,0.12,1.0,42,2,1,125,14.999999999999961,7.037184251482524,0.0,0.0
106,0.31301106086468905,psi_diffusion=1.0,0.5406986303239069,43.821548521056464,0.4564527086136982,25.56435134272065,0.1,0.2,0.12,1.0,42,2,1,130,15.599999999999957,6.894905988127074,0.0,0.0
107,0.3104313625101981,psi_diffusion=1.0,0.5596694920965707,43.46039075142773,0.4739399862721817,24.565180692217528,0.1,0.2,0.12,1.0,42,2,1,135,16.199999999999957,7.051736608999521,0.0,0.0
107,0.30739162760159644,psi_diffusion=1.0,0.5775790123672916,43.0348278642235,0.4568978257384473,23.571758841951052,0.1,0.2,0.12,1.0,42,2,1,140,16.79999999999996,6.914807442740094,0.0,0.0
111,0.3042177799348448,psi_diffusion=1.0,0.5953824903820939,42.590489190878266,0.4739611363009353,22.577004836217018,0.1,0.2,0.12,1.0,42,2,1,145,17.399999999999967,7.09335241106933,0.0,0.0
114,0.301641335461033,psi_diffusion=1.0,0.614371544249038,42.22978696454462,0.4565240567200265,21.58887152200103,0.1,0.2,0.12,1.0,42,2,1,150,17.99999999999997,6.965457352471231,0.0,0.0
115,0.2994822555730845,psi_diffusion=1.0,0.634202752845191,41.92751578023183,0.4730423280019407,20.600347614314238,0.1,0.2,0.12,1.0,42,2,1,155,18.599999999999977,7.097854327307107,0.0,0.0
120,0.29727981232392214,psi_diffusion=1.0,0.653710444058002,41.6191737253491,0.45508651331101835,19.619490093243588,0.1,0.2,0.12,1.0,42,2,1,160,19.19999999999998,6.925364302980669,0.0,0.0
122,0.29503825998949146,psi_diffusion=1.0,0.6730934732051027,41.30535639852881,0.470841840427541,18.639460124341536,0.1,0.2,0.12,1.0,42,2,1,165,19.799999999999986,7.058883699655421,0.0,0.0
122,0.29196557967122183,psi_diffusion=1.0,0.690877040713256,40.875181153971056,0.45235901093376785,17.668350754527808,0.1,0.2,0.12,1.0,42,2,1,170,20.39999999999999,6.887660187095759,0.0,0.0
124,0.28862116138632843,psi_diffusion=1.0,0.7082777005844509,40.40696259408598,0.4673235926667824,16.69940741409919,0.1,0.2,0.12,1.0,42,2,1,175,20.999999999999996,7.031082777127424,0.0,0.0
124,0.28515854999949153,psi_diffusion=1.0,0.7253822911023892,39.922196999928815,0.4483667101696729,15.74068298150513,0.1,0.2,0.12,1.0,42,2,1,180,21.6,6.875271821704436,0.0,0.0
126,0.2823192643406121,psi_diffusion=1.0,0.743472891431902,39.524697007685695,0.4624197129205513,14.78556427215139,0.1,0.2,0.12,1.0,42,2,1,185,22.200000000000006,7.014117413469827,0.0,0.0
127,0.27991775715051853,psi_diffusion=1.0,0.7618998757703457,39.1884860010726,0.4428818887669743,13.8421512811615,0.1,0.2,0.12,1.0,42,2,1,190,22.80000000000001,6.815352549515366,0.0,0.0
127,0.2774774762293178,psi_diffusion=1.0,0.7800755316049035,38.84684667210449,0.4556968920308568,12.904141288352553,0.1,0.2,0.12,1.0,42,2,1,195,23.400000000000016,6.903595111220696,0.0,0.0
128,0.27500522140466355,psi_diffusion=1.0,0.7978123462509696,38.5007309966529,0.4354138374570679,11.979741921703805,0.1,0.2,0.12,1.0,42,2,1,200,24.00000000000002,6.700675046441059,0.0,0.0
128,0.2717007360513752,psi_diffusion=1.0,0.8143792738726386,38.03810304719253,0.44674034510107763,11.062979169837742,0.1,0.2,0.12,1.0,42,2,1,205,24.600000000000026,6.782651457899559,0.0,0.0
128,0.2681446436534661,psi_diffusion=1.0,0.8303438764241342,37.54025011148525,0.4256899044488878,10.16206254907011,0.1,0.2,0.12,1.0,42,2,1,210,25.20000000000003,6.585038679926572,0.0,0.0
128,0.2644853074581028,psi_diffusion=1.0,0.8460265829545295,37.02794304413439,0.43527813905948465,9.271386295946366,0.1,0.2,0.12,1.0,42,2,1,215,25.800000000000036,6.669884740601444,0.0,0.0
128,0.26145549764811077,psi_diffusion=1.0,0.86192945228723,36.60376967073551,0.413311205987751,8.399217614815706,0.1,0.2,0.12,1.0,42,2,1,220,26.40000000000004,6.466158958374805,0.0,0.0
128,0.25886020105164426,psi_diffusion=1.0,0.8777980827335219,36.2404281472302,0.4206265560470703,7.540558171255831,0.1,0.2,0.12,1.0,42,2,1,225,27.000000000000046,6.491125236416065,0.0,0.0
128,0.25623698409957263,psi_diffusion=1.0,0.8929468480656113,35.87317777394017,0.39735626497249554,6.703920372575054,0.1,0.2,0.12,1.0,42,2,1,230,27.60000000000005,6.234858386245179,0.0,0.0
128,0.2535904562339953,psi_diffusion=1.0,0.907443581904174,35.50266387275934,0.4010783181401819,5.885555218081921,0.1,0.2,0.12,1.0,42,2,1,235,28.200000000000056,6.2261794635954715,0.0,0.0
128,0.25015898542809173,psi_diffusion=1.0,0.9205854741753705,35.022257959932844,0.37434451802423024,5.096764856527061,0.1,0.2,0.12,1.0,42,2,1,240,28.80000000000006,5.939202732064152,0.0,0.0
128,0.24650972251296827,psi_diffusion=1.0,0.9328191558538933,34.51136115181556,0.37164890908727327,4.3368123616038705,0.1,0.2,0.12,1.0,42,2,1,245,29.400000000000066,5.8804963574377735,0.0,0.0
128,0.24280115979856584,psi_diffusion=1.0,0.9440255056783656,33.99216237179922,0.3417316103032318,3.61588249955754,0.1,0.2,0.12,1.0,42,2,1,250,30.00000000000007,5.562337311983227,0.0,0.0
128,0.2399045882885232,psi_diffusion=1.0,0.9545895977953466,33.58664236039325,0.3328158569236052,2.9333130052433063,0.1,0.2,0.12,1.0,42,2,1,255,30.600000000000076,5.427032933526288,0.0,0.0
128,0.23719835592169533,psi_diffusion=1.0,0.9638591446269034,33.207769829037346,0.299483898540759,2.29925241687678,0.1,0.2,0.12,1.0,42,2,1,260,31.20000000000008,5.030632114218015,0.0,0.0
128,0.23448168270819,psi_diffusion=1.0,0.9716706457081747,32.8274355791466,0.2822683489330138,1.7154902061781019,0.1,0.2,0.12,1.0,42,2,1,265,31.800000000000086,4.781496874926457,0.0,0.0
128,0.2317630602366155,psi_diffusion=1.0,0.9778198887702546,32.44682843312617,0.2436282881397811,1.193886815261188,0.1,0.2,0.12,1.0,42,2,1,270,32.40000000000008,4.315015866607204,0.0,0.0
128,0.22843569249748225,psi_diffusion=1.0,0.9820676149047146,31.980996949647515,0.21370150771268978,0.7411450746463375,0.1,0.2,0.12,1.0,42,2,1,275,33.000000000000064,3.9381963972194036,0.0,0.0
128,0.22499571502190494,psi_diffusion=1.0,0.9844052228243247,31.49940010306669,0.16560781314563497,0.6029412843691848,0.1,0.2,0.12,1.0,42,2,132,280,33.60000000000005,3.368623854100777,0.0,0.0
128,0.2215835359999594,psi_diffusion=1.0,0.9848218014773278,31.021695039994313,0.11480674982142366,0.5561372224460505,0.1,0.2,0.12,1.0,42,2,132,285,34.20000000000004,2.802575478314683,0.0,0.0
127,0.21908950400842964,psi_diffusion=1.0,0.9842720960748209,30.67253056118015,0.05494807902935441,0.5004546885313705,0.1,0.2,0.12,1.0,42,2,132,290,34.800000000000026,2.0934614780815703,0.0,0.0
127,0.21681096001474565,psi_diffusion=1.0,0.9849574514835522,30.35353440206439,0.02198893185052819,0.4398193254530793,0.1,0.2,0.12,1.0,42,2,132,295,35.40000000000001,1.5808880358705313,0.0,0.0
127,0.21423933853782348,psi_diffusion=1.0,0.9857308646222591,29.993507395295286,0.023857613783649763,0.38225099044694194,0.1,0.2,0.12,1.0,42,2,132,300,36.0,1.311384273631034,0.0,0.0
